Required	Service	Description	Region	Billing Mode	Purchase Amount	Quantity	Specifications	3-years unit price (USD)	Discounted Unit Price (USD)	Original Price (USD)	Discount Amount (USD)	Discounted Price (USD)	Monthly Price (USD)
CDP-AD365-01	Elastic Cloud Server 1	CDP-AD365-01	LA-Mexico City2	 RI	1	1	BYOL | General computing | x0.8u.16g | 8 vCPUs | 16GiB | No Upfront | 3 Years; General Purpose SSD | 280GB; 	3,132.43	3,132.43	3,132.43	0.00	3,132.43	87.01194
CDP-APPSRV-01	Elastic Cloud Server 2	CDP-APPSRV-01	LA-Mexico City2	 RI	1	1	BYOL | General computing | x0.4u.6g | 4 vCPUs | 6GiB | No Upfront | 3 Years; General Purpose SSD | 400GB; 	2,420.28	2,420.28	2,420.28	0.00	2,420.28	67.23
CDP-APPSRV-03	Elastic Cloud Server 3	CDP-APPSRV-03	LA-Mexico City2	 RI	1	1	BYOL | General computing | x0.4u.8g | 4 vCPUs | 8GiB | No Upfront | 3 Years; General Purpose SSD | 200GB; 	1,771.20	1,771.20	1,771.20	0.00	1,771.20	49.20
CDP-DB-OP	Elastic Cloud Server 4	CDP-DB-OP	LA-Mexico City2	 RI	1	1	BYOL | General computing-plus | ac8.xlarge.4 | 4 vCPUs | 16GiB | No Upfront | 3 Years; General Purpose SSD | 380GB; 	2,835.79	2,835.79	2,835.79	0.00	2,835.79	78.77194
CDP-DC-1.0	Elastic Cloud Server 5	CDP-DC-1.0	LA-Mexico City2	 RI	1	1	BYOL | General computing | x0.4u.12g | 4 vCPUs | 12GiB | No Upfront | 3 Years; General Purpose SSD | 119GB; 	1,565.39	1,565.39	1,565.39	0.00	1,565.39	43.48306
CDP-DC-1.1	Elastic Cloud Server 6	CDP-DC-1.1	LA-Mexico City2	 RI	1	1	BYOL | General computing | x0.4u.12g | 4 vCPUs | 12GiB | No Upfront | 3 Years; General Purpose SSD | 130GB; 	1,602.97	1,602.97	1,602.97	0.00	1,602.97	44.52694
CDP-FS-01	Elastic Cloud Server 7	CDP-FS-01	LA-Mexico City2	 RI	1	1	BYOL | General computing | x0.6u.18g | 6 vCPUs | 18GiB | No Upfront | 3 Years; General Purpose SSD | 1024GB; General Purpose SSD | 1024GB; General Purpose SSD | 1024GB; General Purpose SSD | 1024GB; General Purpose SSD | 1024GB; 	19,231.85	19,231.85	19,231.85	0.00	19,231.85	534.21806
CDP-NewCrosh-01	Elastic Cloud Server 8	CDP-NewCrosh-01	LA-Mexico City2	 RI	1	1	BYOL | General computing | x0.8u.8g | 8 vCPUs | 8GiB | No Upfront | 3 Years; General Purpose SSD | 160GB; 	2,580.62	2,580.62	2,580.62	0.00	2,580.62	71.68389
CDP-SRVME-01	Elastic Cloud Server 9	CDP-SRVME-01	LA-Mexico City2	 RI	1	1	BYOL | General computing | x0.4u.10g | 4 vCPUs | 10GiB | No Upfront | 3 Years; General Purpose SSD | 250GB; 	1,978.74	1,978.74	1,978.74	0.00	1,978.74	54.965
CDP-NW-OBRAS	Elastic Cloud Server 10	CDP-NW-OBRAS	LA-Mexico City2	 RI	1	1	BYOL | General computing | x0.4u.12g | 4 vCPUs | 12GiB | No Upfront | 3 Years; General Purpose SSD | 350GB; 	2,354.58	2,354.58	2,354.58	0.00	2,354.58	65.405
